tid,phylum.R,class.R,order.R,family.R,genus.R,species.R,keeling.R
36767,no rank,Spirotrichea,Euplotida,Euplotidae,Euplotes,no rank,Ciliates
40633,no rank,Heterotrichea,Heterotrichida,Condylostomatidae,Condylostoma,no rank,Ciliates
46462,no rank,Oligohymenophorea,Philasterida,Orchitophryidae,Anophryoides,no rank,Ciliates
49980,no rank,Heterotrichea,Heterotrichida,Climacostomidae,Climacostomum,no rank,Ciliates
141414,no rank,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,no rank,Ciliates
151035,no rank,Spirotrichea,Euplotida,Euplotidae,Euplotes,no rank,Ciliates
181622,no rank,Spirotrichea,Choreotrichida,Strombidinopsidae,Strombidinopsis,no rank,Ciliates
182087,no rank,Spirotrichea,Tintinnida,Xystonellidae,Favella,no rank,Ciliates
283647,no rank,Litostomatea,Cyclotrichida,Mesodiniidae,Mesodinium,no rank,Ciliates
283649,no rank,Litostomatea,Cyclotrichida,Mesodiniidae,Myrionecta,no rank,Ciliates
311385,no rank,Spirotrichea,Urostylida,Pseudokeronopsidae,no rank,no rank,Ciliates
312017,no rank,Oligohymenophorea,Hymenostomatida,Tetrahymenidae,Tetrahymena,Tetrahymena thermophila,Ciliates
342563,no rank,Heterotrichea,Heterotrichida,Fabreidae,Fabrea,no rank,Ciliates
626734,no rank,Spirotrichea,Tintinnida,Rhabdonellidae,Schmidingerella,no rank,Ciliates
665100,no rank,Litostomatea,Pleurostomatida,Litonotidae,Litonotus,no rank,Ciliates
693140,no rank,Prostomatea,Prorodontida,Colepidae,Tiarina,no rank,Ciliates
938130,no rank,Colpodea,Cyrtolophosidida,Platyophryidae,Platyophrya,no rank,Ciliates
2898,no rank,Cryptophyta,Cryptomonadales,Cryptomonadaceae,Cryptomonas,no rank,Cryptophytes
3032,no rank,Cryptophyta,Pyrenomonadales,Geminigeraceae,Hanusia,no rank,Cryptophytes
31324,no rank,Cryptophyta,Cryptomonadales,Goniomonadaceae,Goniomonas,no rank,Cryptophytes
46946,no rank,Cryptophyta,Pyrenomonadales,Geminigeraceae,Geminigera,no rank,Cryptophytes
46947,no rank,Cryptophyta,Pyrenomonadales,Geminigeraceae,Geminigera,no rank,Cryptophytes
46948,no rank,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,no rank,Cryptophytes
52970,no rank,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,no rank,Cryptophytes
77926,no rank,Cryptophyta,Cryptomonadales,Hemiselmidaceae,Hemiselmis,no rank,Cryptophytes
77927,no rank,Cryptophyta,Cryptomonadales,Hemiselmidaceae,Hemiselmis,no rank,Cryptophytes
77928,no rank,Cryptophyta,Pyrenomonadales,Geminigeraceae,Proteomonas,no rank,Cryptophytes
195065,no rank,Cryptophyta,Pyrenomonadales,Chroomonadaceae,Chroomonas,no rank,Cryptophytes
195067,no rank,Cryptophyta,Cryptomonadales,Goniomonadaceae,Goniomonas,no rank,Cryptophytes
233186,no rank,Cryptophyta,Cryptomonadales,Cryptomonadaceae,Cryptomonas,no rank,Cryptophytes
302021,no rank,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,no rank,Cryptophytes
354590,no rank,Cryptophyta,Pyrenomonadales,Pyrenomonadaceae,Rhodomonas,no rank,Cryptophytes
464988,no rank,Cryptophyta,Cryptomonadales,Hemiselmidaceae,Hemiselmis,no rank,Cryptophytes
464990,no rank,Cryptophyta,Cryptomonadales,Hemiselmidaceae,Hemiselmis,no rank,Cryptophytes
697907,no rank,Cryptophyta,no rank,no rank,no rank,no rank,Cryptophytes
905079,no rank,Cryptophyta,Pyrenomonadales,Geminigeraceae,Guillardia,Guillardia theta,Cryptophytes
280699,no rank,Bangiophyceae,Cyanidiales,Cyanidiaceae,Cyanidioschyzon,Cyanidioschyzon merolae,Cyanidiophytes
2838,Bacillariophyta,Mediophyceae,Eupodiscales,Eupodiscaceae,Odontella,no rank,Diatoms
2839,Bacillariophyta,Mediophyceae,Eupodiscales,Eupodiscaceae,Odontella,no rank,Diatoms
2843,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,Skeletonema,no rank,Diatoms
2850,Bacillariophyta,Bacillariophyceae,Naviculales,Phaeodactylaceae,Phaeodactylum,no rank,Diatoms
2856,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,no rank,Diatoms
2857,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,no rank,Diatoms
3005,Bacillariophyta,Coscinodiscophyceae,no rank,Rhizosoleniaceae,Rhizosolenia,no rank,Diatoms
29205,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,no rank,Diatoms
33640,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,no rank,Diatoms
33649,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,Thalassionema,no rank,Diatoms
35127,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
35128,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,no rank,Diatoms
37318,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
37319,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
44445,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
44447,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,no rank,Diatoms
49237,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,no rank,Diatoms
49249,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,no rank,Diatoms
49252,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,no rank,Diatoms
